claim_id,afirmacion,valor_rango,unidad,condiciones,especie_cepa_material,escala,fuente_primaria,pagina_tabla,fecha_fuente,tipo_evidencia,incertidumbre,aplicacion_diseno,limitacion,archivos_que_la_usan,verificacion
A70,"Productividad comestible fresca (g/m²·d): camote 51.72, frijol 11.11, rábano 91.67; fotones 28/24/26 mol/m²·d; transpiración 2.88/2.53/1.77 kg/m²·d",ver afirmación,g/m²·d; mol/m²·d; kg/m²·d,Condiciones nominales de cámara de crecimiento,"Camote, frijol, rábano",Cámara (monocultivo),NASA/TP-2015-218570/REV2 (BVAD),"Tablas 4-89, 4-90, 4-91",2022,dato publicado,Monocultivo en condiciones controladas óptimas,"Cultivo, luz, agua",No es policultivo sobre regolito ni a 0.38 g,config,Leído (sha b9eab584c2bc88b5)
A71,La transpiración a condensar es de 5–11 L/d (arquitectura B),5.1–11.2,L/d,Escala con la productividad,—,Módulo,Cálculo P1,§3–7,2026-09-15,resultado calculado,Hereda A70,Agua y control de humedad,Agua no potable por defecto,P1-INGENIERIA,Nuevo en P1
A72,El perclorato en 10–20 mM reduce la producción de CH₄ de Methanosarcina barkeri,10–20,mM,"28 d; 30 °C y 0 °C; sales de Na, Mg, Ca",Methanosarcina barkeri,Cultivo puro,"Sci. Rep. 2021, s41598-021-91882-0",Resumen y Fig. 2,2021,dato publicado,"Cultivo puro, no un digestor mixto",Separar salmuera y metanogénesis,No define un umbral mínimo,config,Leído
A73,Lavar un cartucho de 110 kg produce salmuera de 20–40 mM de ClO₄⁻ con relación líquido/sólido de 1–5 (ilustrativa),20–40,mM,0.4–1 % ClO₄⁻; relación L/S 1–5,Regolito,Cartucho,Cálculo P1,§9,2026-09-15,resultado calculado,La relación L/S no tiene fuente; la concentración baja con más lavados,Diseño del tratamiento,Requiere ensayo,P1-INGENIERIA,Nuevo en P1
A74,Trayectoria mínima de emergencia en la ISS: 81 × 114 cm,81 × 114,cm,"Microgravedad, ISS",—,Hábitat,NASA/SP-2010-3407/REV1 (HIDH),§8.7,2014,dato publicado,"Microgravedad, no 0.38 g",Supuesto de pasillo de 0.90 m,Falta análisis de tareas [V2 8013],config,Leído (sha a6a8758b9116984d)
A75,"Arquitectura B: un anillo de 20 cartuchos idénticos (0.333 m², 110 kg) en Ø 4.56 m con pasillo central; 2.66 m² de regeneración y 4.00 m² de cultivo",20; 0.333; 110; 4.56,—; m²; kg; m,Alcance 0.60 m; holgura de pared 0.10 m (supuestos),—,Módulo,Cálculo P1,§2,2026-09-15,resultado calculado,Hereda los supuestos de acceso,Arquitectura propuesta,Pendiente de aprobación del equipo; −35 % de área,P1-INGENIERIA,Nuevo en P1 | Histórico P1: área/masa sustituidas por D9 y P4-02; no usar para la revisión S3
A76,Gallina ponedora (ASABE D384.2): 0.049 lb/d de ST y 0.036 lb/d de SV por ave; 75 % de humedad,22; 16; 75,g ST/d; g SV/d; %,Tal como se excreta,Gallina ponedora,Ave,ASABE D384.2 vía Virginia Tech BSE-359,Tabla 2,—,dato publicado,Otra especie (≈10× la masa de una codorniz),Relación SV/ST,No es codorniz,config,Leído
P3-01,Holgura mínima nominal entre cartuchos en borde interior,29.8,mm,r0=1.58 m; paso 18 grados; sector 16.92 grados,—,geometría nominal,2 r0 sin(gap/2),—,2026-09-20,resultado calculado,Supuestos indicados; sin medición física,P3 / continuidad Madrid,No tolerancia de fabricación ni interferencia con equipos,analysis/milpa360_p2.py; analysis/verificar_geometria.py,Reproducible con scripts; no validación física
P3-02,Altura libre nominal sobre piso,1.58,m,techo 2.20 m; piso 0.62 m,—,concepto marciano,2.20 - 0.62,—,2026-09-20,resultado calculado,Supuestos indicados; sin medición física,P3 / continuidad Madrid,Insuficiente para figura 1.75 m; no resuelve ergonomía,config/milpa360.parameters.json; P2-GEOMETRIA.md B19,Reproducible con scripts; no validación física | Histórico S2: interpretación sustituida por D8 / P4-01
P3-03,Tasa de daño y déficit letal ilustrativos,0.04; 12,1/d; d equivalentes,déficit acumulado de luz/agua; misma regla en ambas siembras,—,banco digital,"P3-SIMULACION.md, ecuaciones",—,2026-09-20,escenario ilustrativo,Supuestos indicados; sin medición física,P3 / continuidad Madrid,Sin calibración; no pronostica rendimiento,prototipo-3d/milpa360-modelo.js; config/milpa360.parameters.json,Reproducible con scripts; no validación física
P3-04,Entrada nominal al almacén de gas desde balance P1,0.240,kWh químicos/d,régimen nominal P1; frontera almacén,—,banco digital,analysis/milpa360_p1.py,—,2026-09-20,resultado calculado,Supuestos indicados; sin medición física,P3 / continuidad Madrid,No simula digestor bajo fallos ni condiciones P/T del gas,prototipo-3d/milpa360-modelo.js; milpa360-datos.js,Reproducible con scripts; no validación física | Histórico S2: valor recalculado en S3 / P4-05
P4-01,Piso y cama separados por corrección D8,2.20 / 1.58,m,Altura sobre piso / sobre borde de cama,—,concepto marciano / banco terrestre,P4-MECANICA-ENSAYOS.md §1; P02; parámetros D8,—,2026-09-20,resultado calculado,"Supuestos, no medición",P4/S3,Sustituye interpretación P3-02 para la escena vigente; no verifica entrada,milpa360-simulador.html; P02-corte-transversal.html,Reproducible; pendientes físicos explícitos
P4-02,Área útil descontando reborde nominal,3.0858,m2,12 cartuchos; reborde supuesto 0.035 m,—,concepto marciano / banco terrestre,milpa360_p2.py; verificar_modelo_geometrico.cjs,—,2026-09-20,resultado calculado,"Supuestos, no medición",P4/S3,No medición física ni espesor resistente; sustituye los 4 m2 del corte S2,milpa360-datos.js; P4-MECANICA-ENSAYOS.md,Reproducible; pendientes físicos explícitos
P4-03,Masa móvil y par de dimensionado terrestres,1977 / 380,kg / N m,Nominal; 9.81 m/s2; giro 18 grados en 60 s; margen 2,—,concepto marciano / banco terrestre,milpa360_p4.py; config/milpa360.mecanica.json,—,2026-09-20,resultado calculado,"Supuestos, no medición",P4/S3,Rozamiento y taras supuestos; ningún motor/corona seleccionados,P4-MECANICA-ENSAYOS.md,Reproducible; pendientes físicos explícitos
P4-04,Volumen útil candidato digestor,63.9,L,Entrada P1 corregida; mezcla 5% ST; HRT 30 d,—,concepto marciano / banco terrestre,milpa360_p4.py,—,2026-09-20,resultado calculado,"Supuestos, no medición",P4/S3,"HRT y ST son hipótesis, no validación para el consorcio",P4-MECANICA-ENSAYOS.md,Reproducible; pendientes físicos explícitos
P4-05,"Gas químico, luz eléctrica y cobertura alimentaria nominal P1 con área útil corregida",0.199 / 10.48 / 2.46,kWh químicos/d / kWh eléctricos/d / % kcal,Régimen nominal; área útil 3.0858 m2; seis tripulantes,—,módulo agrícola,analysis/milpa360_p1.py; milpa360-datos.js,—,2026-09-20,resultado calculado,Supuestos; productividad terrestre no validada en Marte,P3 / P4,"Sustituye P3-04; faltan auxiliares, arranque y validación física",P3-SIMULACION.md; P4-MECANICA-ENSAYOS.md,Reproducible con scripts; no medición
P4-06,Superficie agrícola activa de Chiapas por modalidad hídrica,1649917 / 73796 / 1576121,ha,Total / riego / temporal; unidades agropecuarias activas,—,Estado de Chiapas,https://www.inegi.org.mx/contenidos/programas/ca/2022/doc/ca2022_rdCHS.pdf,lámina 15 del PDF,2022,dato publicado,Porcentajes publicados redondeados 4.5% y 95.5%,Contexto piloto terrestre,No línea base de Tuxtla ni prueba de ahorro,CONTEXTO-RETO-MARTE.md; P4-PRESUPUESTO-CHIAPAS.md,PDF original leído el 20 sep 2026
P4-07,Precios públicos de componentes para presupuestos preliminares,8,referencias,MXN; catálogo con IVA incluido/excluido/por confirmar,—,Maqueta y piloto terrestre,URL individuales en config/milpa360.presupuesto.json,Fichas PR01–PR08,2026-09-20,dato publicado,Precios variables; entrega y stock local sin confirmar,P4/S4,No cotizaciones ni selección definitiva de equipos,PRESUPUESTOS-MILPA360-S4.xlsx; P4-PRESUPUESTO-CHIAPAS.md,Fichas abiertas y condiciones leídas
P4-08,Tasa general IVA empleada para PLA anunciado más IVA,16,%,Sólo PR01 explícitamente excluido; no aplicar a todas las partidas,PLA,Compra terrestre México,https://wwwmat.sat.gob.mx/articulo/19848/articulo-1,Artículo 1,Consulta 2026-09-20,dato publicado,Tratamiento de cada partida por confirmar cuando la ficha no lo dice,Hoja de costes,No sustituye comprobante fiscal ni acredita deducibilidad,config/milpa360.presupuesto.json; PRESUPUESTOS-MILPA360-S4.xlsx,Artículo leído; fórmulas verificadas
P4-09,Propuesta de comparación manual y goteo en Tuxtla,3,pares independientes,Seis recipientes; sitio y agrónomo pendientes,Rábano variedad pendiente,Banco terrestre exploratorio,P4-PRESUPUESTO-CHIAPAS.md,§5,2026-09-20,hipótesis,Sin potencia estadística ni efecto medido,Retorno terrestre,Línea base desconocida; no valida tratamiento de residuos pecuarios,CONTEXTO-RETO-MARTE.md; matriz-requisitos.md,Protocolo propuesto; no ensayo ejecutado
P4-10,Contingencia provisional de planificación,20,%,Aplicable sólo sobre base completa con faltantes resueltos,—,Madrid y piloto,Decisión propuesta S4,P4-PRESUPUESTO-CHIAPAS.md §3,2026-09-20,escenario ilustrativo,Sin distribución probabilística; revisar tras cotizaciones,Reserva de coste,No absorbe partidas desconocidas ni implica confianza estadística,config/milpa360.presupuesto.json; PRESUPUESTOS-MILPA360-S4.xlsx,Separada en hoja; no gasto realizado
P5-01,Cuerda interior candidata al retirar dos posiciones de 18 grados,0.97649,m,2 por 1.58 por seno de 18 grados; antes de descontar estructura,—,Geometría conceptual,P5-DEFENSA.md; analysis/documentos_s5.py,§3,2026-09-21,resultado calculado,Candidata no adoptada,Estudio de entrada B19,No ancho útil de evacuación; faltan esclusa y depósito externo,P5-DEFENSA.md,Identidad trigonométrica comprobada; sin ensayo
P5-02,Exportación de mallas y reimportación GLB en Blender,1194,mallas,Escena nominal sol 62; Blender 5.2.0 LTS,—,Representación digital,analysis/blender_s5.py; VERIFICACION-BLENDER.json,Informe S5,2026-09-21,resultado calculado,Tolerancia numérica del piso 1e-5 m,Coherencia de exportación,No CAD ni tolerancia de fabricación; no resistencia ni capacidad certificada,outputs/madrid-s5; P5-DEFENSA.md,Recuento y cotas del piso contrastados tras reimportar
P5-03,Retirar dos cartuchos de cultivo reduce área activa si no se cultivan fuera,2.5715,m2,10 por 0.25715; hipótesis de mantenimiento y no escenario productivo adoptado,—,Módulo agrícola,config/milpa360.geometria.json; P5-DEFENSA.md,§3,2026-09-21,resultado calculado,Área nominal con reborde descontado,Comparar candidata desmontable,No conservar producción de doce cartuchos si sólo quedan diez,P5-DEFENSA.md,Multiplicación reproducible; decisión y mecanismo pendientes
B19-01,Paso de dos posiciones con herraje supuesto,0.91649,m,0.97649 menos dos herrajes de 0.030 m,—,Candidata geométrica,analysis/milpa360_acceso.py,Resultados B19,2026-09-21,resultado calculado,Herrajes no dimensionados; 0.89649 m si cada lado ocupa 0.040 m,Cribado del acceso,No acredita antropometría ni evacuación asistida,B19-ACCESO.md; P06; milpa360-acceso.html,Barrido continuo y sensibilidad reproducibles
B19-02,Huella adicional del vestíbulo candidato,6.66272,m2,Rectángulo interior 3.0 por 2.2 más cuello de unión al casco,—,Concepto presurizado,analysis/milpa360_acceso.py,Resultados B19,2026-09-21,resultado calculado,Sin espesores exteriores ni masa del cerramiento,Evaluar coste espacial de B19,No coste cero; falta energía de acondicionamiento y estructura,B19-ACCESO.md; P06; milpa360-acceso.html,Área analítica reproducible; volumen adicional 14.658 m3
B19-03,Masa conjunta de dos cartuchos retirados,179.717,kg,Nominal con sustrato y tara de cubeta; 139.8 a 219.7 entre escenarios,—,Mecanismo candidato,analysis/milpa360_acceso.py; milpa360_p2.masas,Resultados B19,2026-09-21,resultado calculado,Casetes y útil desconocidos y excluidos explícitamente,Carga mínima a considerar,No capacidad de manejo manual ni resistencia demostrada,B19-ACCESO.md; P06; milpa360-acceso.html,Conservación digital de identidades y masa de sustrato durante maniobra
B19-04,Rutas y puertas deben analizar ocupación y contingencias,—,—,Acceso normal y asistido; trajes y equipo según tarea,—,Referencia de diseño,NASA https://www.nasa.gov/reference/8-0-architecture-vol-2/,8.3 y 8.4; V2 8013 8014 8020 8022 8027 8028,2026-09-21,requisito,Aplicabilidad del programa por definir,Revisar la ruta completa,No prescribe como aprobado el ancho 0.90 m ni certifica MILPA,B19-ACCESO.md,Secciones pertinentes abiertas y leídas; edición web vigente de Vol.2
"CIE-01","Provisión humana sin crédito de cosecha para 539+30 días","8159.46","kg empacados","6 personas; 2.39 kg por persona/día con empaque","alimento empacado","logística superficie","analysis/cierre_acumulado.py; ICES-2019-126","p.2 y CALCULOS-CIERRE","2026-09-21","resultado calculado","30 días elegidos; no menú real","No descontar cosecha no validada","Excluye tránsito y dieta detallada","CALCULOS-CIERRE.md; P5-DEFENSA.md","Recalculado; sin medición"
"CIE-02","Subtotal eléctrico del escenario nominal con auxiliares y térmica","25.261","kWh/d terrestre","U=0.2; exterior -60; interior 22; potencias supuestas","casco cilíndrico nominal","módulo","config/milpa360.parameters.json; analysis/cierre_acumulado.py","grupo cierre","2026-09-21","escenario ilustrativo","Equipos y transmitancia no medidos","Sensibilidad energética","Excluye vestíbulo ISRU metabolismo y deshumidificación; no total validado","CALCULOS-CIERRE.md; deck_s5.mjs","Unidades y ausencia de doble conteo térmico comprobadas"
"CIE-03","Conversión ideal de perclorato inicial nominal a cloruro","3.025","kg Cl","8.486 kg ClO4; reducción ideal completa","sustrato nominal","tratamiento inicial","analysis/cierre_acumulado.py","estequiometría","2026-09-21","resultado calculado","Concentración y masa supuestas","Hacer visible purga de sales","No cinética ni dosificación operativa ni validación de remoción","CALCULOS-CIERRE.md","Conservación de Cl; DQO ideal separada"
"CIE-04","Antecedente de cultivo en carrusel y acceso desde área de trabajo","WO2018035314A1","identificador","Prioridad 2016-08-17; publicación 2018-02-22","torres de cultivo","patente publicada","https://patents.google.com/patent/WO2018035314A1/en","reivindicaciones 1 a 6","2018-02-22","dato publicado","Lectura acotada; sin dictamen jurídico","Comparar mecanismos y retirar originalidad absoluta","No demuestra FTO ni patentabilidad de MILPA","CIERRE-ACUMULADO.md; P5-DEFENSA.md","Metadatos resumen y reivindicaciones abiertos y leídos"
"CIE-05","Repositorio visible como público durante consulta","public","visibilidad","API consultada 21 sep 2026","repositorio","divulgación","https://api.github.com/repos/ALDOOGOAT/RETO-MARTE","visibility y created_at","2026-09-21","dato publicado","No identifica momento de cambio a público","Cronología de divulgación","Fecha de creación no equivale a primera publicación","CIERRE-ACUMULADO.md","Consulta API sin autenticación; sin inferir fecha desconocida"
"CIE-06","Tres posiciones mejoran garganta pero no resuelven depósito","1.335","m","Cuerda interior de 54 grados menos 50 mm por lado","candidata de tres cartuchos","geometría","analysis/cierre_acumulado.py","comparación de acceso","2026-09-21","resultado calculado","Herrajes supuestos","Comparar con B19 de dos","269.6 kg sin útil; almacén y rescate no verificados","CALCULOS-CIERRE.md","Aserción de anchura; no adoptada como acceso físico"
